Id,firstName,lastName,salary,managerId
334,Alice,Johnson,52273,251
335,John,Brown,43014,309
336,Jane,Anderson,57386,252
337,Tom,Doe,49948,163
338,Bob,Johnson,54829,153
339,Emma,Johnson,44588,22
340,Emma,Taylor,59908,328
341,Tom,Anderson,46043,131
342,John,Smith,42459,154
343,Tom,Doe,49710,253
344,Jane,Brown,52386,57
345,Alice,Anderson,43756,134
346,Tom,Taylor,59679,96
347,Alice,Brown,54421,205
348,Bob,Doe,46874,324
349,Emma,Taylor,50455,333
350,John,Anderson,49201,160
351,Bob,Anderson,56675,15
352,Jane,Brown,46366,347
353,Bob,Johnson,52089,27
354,Tom,Johnson,48470,268
355,Bob,Johnson,48722,105
356,Emma,Brown,46120,196
357,John,Doe,52228,211
358,Jane,Johnson,46623,155
359,Tom,Doe,54620,270
360,Bob,Anderson,55357,259
361,John,Brown,42650,129
362,Jane,Taylor,50240,192
363,John,Smith,54477,292
364,Emma,Doe,46945,146
365,Alice,Taylor,47339,163
366,Jane,Anderson,57812,276
367,Jane,Anderson,55477,355
368,Emma,Johnson,59017,107
369,Tom,Taylor,45469,195
370,John,Anderson,59299,148
371,Bob,Anderson,53030,105
372,Bob,Anderson,43032,135
373,Tom,Brown,44487,254
374,Jane,Doe,42575,19
375,Emma,Taylor,47337,297
376,Bob,Smith,52349,124
377,Tom,Johnson,58203,281
378,Jane,Anderson,49367,340
379,Tom,Anderson,41611,253
380,Emma,Taylor,47939,377
381,Alice,Doe,41225,373
382,Alice,Johnson,41933,279
383,Emma,Doe,51437,121
384,John,Anderson,51494,129
385,Bob,Anderson,48567,349
386,Tom,Johnson,57583,136
387,Jane,Brown,56467,280
388,Alice,Smith,48301,318
389,Jane,Taylor,53235,17
390,Emma,Johnson,47699,323
391,Emma,Brown,40271,11
392,Bob,Anderson,43111,363
393,Jane,Johnson,51082,299
394,Tom,Brown,43892,3
395,Alice,Anderson,49486,272
396,Emma,Johnson,55535,297
397,Tom,Brown,52222,76
398,John,Johnson,54965,330
399,John,Doe,57313,335
400,Tom,Brown,41606,240
401,Tom,Johnson,59648,61
402,Emma,Doe,46212,173
403,Jane,Johnson,47780,86
404,Jane,Anderson,44146,288
405,Jane,Anderson,51228,1
406,Bob,Anderson,42359,322
407,John,Doe,45413,161
408,Tom,Smith,40206,99
409,John,Doe,48770,356
410,Alice,Johnson,44453,371
411,Bob,Johnson,43907,28
412,Bob,Anderson,44938,219
413,Tom,Johnson,57672,143
414,Alice,Brown,54786,56
415,Bob,Johnson,53517,397
416,Tom,Anderson,53421,294
417,Jane,Anderson,58152,245
418,John,Johnson,43366,88
419,John,Taylor,48616,246
420,Jane,Taylor,48002,263
421,Emma,Doe,57468,243
422,Emma,Anderson,54393,307
423,Emma,Johnson,49374,122
424,Emma,Taylor,50976,84
425,Bob,Johnson,50183,167
426,Bob,Smith,54758,390
427,Jane,Johnson,55237,413
428,Jane,Doe,48185,61
429,Emma,Anderson,46454,55
430,Alice,Doe,46619,251
431,Alice,Smith,56619,104
432,John,Smith,53692,178
433,Bob,Smith,56648,416
434,Bob,Anderson,46945,74
435,Emma,Doe,44738,253
436,Jane,Smith,49151,261
437,Tom,Brown,51053,99
438,Tom,Brown,56926,432
439,Alice,Anderson,40505,97
440,Tom,Taylor,49527,6
441,John,Anderson,56562,80
442,Alice,Brown,49899,112
443,Alice,Brown,59864,134
444,Alice,Johnson,43144,107
445,Alice,Taylor,57173,324
446,Alice,Anderson,40709,81
447,Emma,Doe,57500,206
448,Alice,Brown,49057,378
449,Alice,Anderson,59403,341
450,John,Taylor,47912,181
451,John,Doe,47908,147
452,Emma,Smith,40115,95
453,Emma,Johnson,59846,433
454,Bob,Taylor,42315,352
455,Alice,Brown,57300,86
456,Alice,Doe,46651,47
457,Emma,Taylor,50725,40
458,Jane,Smith,55108,203
459,Alice,Anderson,40279,176
460,Alice,Doe,45772,173
461,Emma,Taylor,57286,318
462,John,Brown,52185,148
463,Emma,Doe,45426,462
464,Bob,Taylor,43060,136
465,Emma,Smith,49885,419
466,Jane,Anderson,56286,278
467,Tom,Johnson,59695,96
468,Alice,Anderson,56694,166
469,John,Anderson,41500,220
470,Alice,Anderson,53704,14
471,Emma,Anderson,46176,152
472,Alice,Taylor,51040,267
473,Alice,Smith,41392,65
474,Bob,Doe,57829,232
475,Bob,Doe,46102,275
476,Tom,Brown,44185,328
477,Bob,Brown,43578,384
478,Bob,Brown,50007,438
479,Tom,Taylor,53275,470
480,John,Anderson,58293,169
481,John,Johnson,51349,340
482,Jane,Brown,55317,353
483,Tom,Anderson,47372,339
484,Bob,Taylor,51458,473
485,Alice,Brown,52223,5
486,Bob,Johnson,43612,458
487,Bob,Doe,44791,83
488,Tom,Smith,47488,190
489,Emma,Brown,46480,201
490,Bob,Brown,43802,268
491,John,Johnson,49050,262
492,Bob,Smith,57385,71
493,Emma,Smith,48371,307
494,Tom,Anderson,59167,100
495,Emma,Brown,52461,201
496,Alice,Doe,53043,493
497,Tom,Taylor,44020,206
498,Alice,Doe,41966,394
499,Alice,Taylor,54730,58
500,Emma,Anderson,44622,30
501,Tom,Anderson,48154,249
502,Emma,Doe,43007,277
503,John,Brown,42269,52
504,Tom,Johnson,51095,267
505,Jane,Smith,54198,234
506,John,Anderson,47830,182
507,Tom,Taylor,41489,270
508,Emma,Smith,44774,110
509,Bob,Brown,40870,121
510,John,Johnson,55515,451
511,John,Doe,47094,178
512,Bob,Smith,58751,24
513,John,Smith,55997,367
514,Bob,Johnson,56958,198
515,Bob,Taylor,53263,399
516,Jane,Doe,47105,287
517,Bob,Johnson,51241,201
518,John,Taylor,42210,465
519,Jane,Taylor,43085,101
520,Emma,Taylor,49016,519
521,Bob,Brown,42397,54
522,Jane,Taylor,46465,75
523,Bob,Taylor,50621,311
524,Bob,Johnson,45625,516
525,Emma,Anderson,55860,414
526,Tom,Smith,57705,202
527,John,Anderson,46003,482
528,Jane,Taylor,41252,488
529,Emma,Smith,46499,159
530,Tom,Taylor,45930,412
531,Bob,Doe,55330,522
532,Bob,Smith,52731,222
533,Tom,Smith,40453,224
534,Bob,Anderson,51597,54
535,Tom,Anderson,56759,36
536,John,Brown,42069,193
537,Emma,Taylor,50433,504
538,Emma,Smith,47133,62
539,Bob,Taylor,49252,208
540,Jane,Johnson,50252,95
541,John,Anderson,48207,179
542,Bob,Brown,43408,51
543,Tom,Smith,53979,280
544,Tom,Smith,49455,423
545,John,Brown,45878,275
546,Emma,Brown,59572,522
547,Tom,Smith,57049,514
548,Emma,Taylor,51446,287
549,Jane,Doe,56908,161
550,Jane,Anderson,43712,103
551,Jane,Johnson,54826,85
552,Jane,Johnson,55021,176
553,John,Doe,52673,251
554,Alice,Taylor,42828,489
555,Bob,Taylor,41391,455
556,Emma,Smith,44614,466
557,Alice,Johnson,55635,369
558,Jane,Brown,53453,552
559,Tom,Taylor,59841,138
560,Bob,Brown,55636,265
561,Emma,Doe,52333,35
562,Alice,Anderson,44960,430
563,Bob,Brown,51512,552
564,Bob,Brown,51648,223
565,Alice,Smith,57455,546
566,Jane,Brown,58862,556
567,Alice,Anderson,56454,245
568,Jane,Brown,45771,464
569,Jane,Anderson,47743,123
570,Bob,Anderson,55908,81
571,Bob,Johnson,53955,348
572,John,Brown,40608,128
573,Emma,Taylor,41825,474
574,John,Taylor,55398,361
575,Tom,Johnson,54732,523
576,Jane,Taylor,52843,99
577,John,Taylor,53594,359
578,Jane,Smith,54797,419
579,John,Smith,56190,558
580,Alice,Doe,41130,105
581,Jane,Johnson,49554,439
582,Alice,Smith,59297,353
583,Emma,Smith,52749,168
584,Tom,Johnson,57207,422
585,Emma,Doe,47789,82
586,Bob,Anderson,42525,552
587,Alice,Smith,45691,531
588,Emma,Smith,48968,115
589,Tom,Brown,49876,482
590,Bob,Doe,46165,420
591,Tom,Johnson,55615,268
592,Jane,Smith,44674,281
593,Bob,Anderson,48447,133
594,Alice,Johnson,57128,127
595,Jane,Johnson,46996,423
596,Emma,Doe,53723,77
597,Alice,Johnson,40468,201
598,John,Smith,59625,534
599,Tom,Doe,48851,301
600,Alice,Brown,40312,6
601,Jane,Anderson,46827,503
602,Emma,Brown,51370,591
603,John,Doe,53736,408
604,Jane,Doe,41723,445
605,Alice,Doe,42545,170
606,Emma,Taylor,45049,29
607,Alice,Taylor,54844,248
608,Emma,Taylor,42025,3
609,Tom,Anderson,49870,167
610,Emma,Anderson,54019,329
611,Jane,Smith,57440,206
612,Bob,Taylor,43214,83
613,Tom,Smith,58587,401
614,Tom,Taylor,42407,216
615,Jane,Brown,53212,429
616,Bob,Smith,59482,63
617,Emma,Johnson,51624,614
618,Bob,Brown,51502,336
619,John,Smith,45649,606
620,Tom,Johnson,40947,545
621,Bob,Taylor,41882,241
622,Tom,Anderson,48153,82
623,Bob,Johnson,52381,35
624,Alice,Taylor,42550,145
625,Tom,Anderson,56320,283
626,Emma,Brown,58925,6
627,Tom,Brown,56337,387
628,John,Anderson,42729,134
629,Emma,Johnson,47944,608
630,Alice,Smith,56288,113
631,Tom,Anderson,59119,501
632,Tom,Johnson,49424,353
633,Bob,Anderson,51435,611
634,Alice,Taylor,41258,234
635,John,Taylor,53318,275
636,John,Doe,50866,63
637,Tom,Johnson,55288,8
638,Emma,Brown,45659,571
639,Alice,Smith,50716,82
640,John,Taylor,59799,539
641,Bob,Taylor,41357,21
642,John,Taylor,57373,94
643,Alice,Brown,45452,507
644,Bob,Doe,44900,71
645,Alice,Anderson,55192,235
646,John,Anderson,42207,355
647,John,Brown,46926,585
648,Tom,Brown,47981,482
649,Alice,Taylor,51485,367
650,Jane,Taylor,58747,405
651,Bob,Brown,49426,124
652,Bob,Doe,50842,622
653,Bob,Smith,49361,448
654,Emma,Brown,40948,222
655,Bob,Brown,56827,235
656,Jane,Doe,46030,396
657,Alice,Doe,57928,458
658,Alice,Doe,54023,412
659,Tom,Smith,40684,260
660,Alice,Brown,45365,429
661,Alice,Smith,46535,253
662,Alice,Smith,43606,213
663,John,Taylor,41714,372
664,Jane,Taylor,58285,552
665,John,Taylor,55256,344
666,Bob,Anderson,43089,640
667,John,Anderson,51769,186
668,Bob,Anderson,59172,134
669,John,Anderson,45034,95
670,Alice,Johnson,51546,18
671,Bob,Johnson,51662,583
672,Jane,Taylor,41178,525
673,Bob,Brown,45598,660
674,Jane,Anderson,59899,192
675,Bob,Brown,43394,184
676,Emma,Johnson,49157,27
677,Tom,Taylor,52501,546
678,Bob,Taylor,47116,175
679,Jane,Taylor,56004,504
680,Tom,Johnson,49013,379
681,Emma,Doe,46747,355
682,Bob,Smith,57126,72
683,Bob,Smith,50046,466
684,Tom,Brown,40209,309
685,Jane,Johnson,55867,467
686,Alice,Doe,54513,272
687,Emma,Brown,58730,112
688,Bob,Johnson,48330,235
689,Tom,Brown,45643,521
690,Tom,Doe,53003,479
691,Jane,Anderson,42271,350
692,Bob,Johnson,59659,213
693,Jane,Doe,51197,331
694,Emma,Johnson,42549,213
695,John,Taylor,45215,158
696,Jane,Johnson,58969,157
697,Jane,Smith,56338,333
698,John,Johnson,41550,145
699,Alice,Johnson,55206,88
700,Bob,Brown,55916,44
701,Alice,Brown,57836,658
702,Tom,Smith,51886,672
703,Bob,Smith,44567,650
704,Alice,Brown,45615,321
705,Jane,Anderson,58654,431
706,Tom,Johnson,41162,539
707,Jane,Johnson,46369,588
708,Tom,Smith,57793,653
709,Emma,Taylor,49195,196
710,Jane,Smith,40906,458
711,Alice,Johnson,50827,121
712,Jane,Smith,40600,151
713,Bob,Anderson,45653,293
714,Bob,Doe,52405,389
715,Alice,Brown,56281,113
716,Bob,Johnson,40679,699
717,Bob,Smith,46436,274
718,John,Taylor,43086,91
719,Alice,Taylor,46456,412
720,Tom,Doe,53762,225
721,Jane,Smith,46796,104
722,Tom,Anderson,41346,476
723,Alice,Taylor,45800,335
724,Alice,Taylor,54636,305
725,John,Doe,54501,711
726,Alice,Smith,46915,214
727,Bob,Johnson,54113,14
728,Jane,Smith,45175,485
729,Bob,Anderson,52620,654
730,Emma,Brown,40137,718
731,Jane,Anderson,47817,541
732,Emma,Taylor,56524,237
733,Alice,Taylor,51947,68
734,Alice,Johnson,57285,397
735,John,Taylor,50040,563
736,Emma,Taylor,43641,122
737,Emma,Brown,46366,584
738,Bob,Smith,41360,644
739,Emma,Brown,51225,528
740,Tom,Taylor,58336,232
741,Alice,Brown,50932,731
742,Bob,Doe,54232,649
743,Emma,Doe,55723,677
744,Alice,Doe,41266,105
745,Alice,Johnson,49861,21
746,Emma,Doe,53139,516
747,Emma,Anderson,42514,344
748,John,Brown,47399,85
749,Alice,Johnson,42862,153
750,Emma,Anderson,45095,551
751,Tom,Brown,50959,655
752,Alice,Taylor,59914,38
753,Emma,Doe,44468,99
754,Tom,Brown,46132,346
755,Tom,Anderson,53885,513
756,Bob,Smith,46152,733
757,Alice,Anderson,56605,186
758,Bob,Anderson,58513,321
759,Alice,Doe,52393,9
760,Emma,Taylor,54013,85
761,Jane,Anderson,46520,555
762,Tom,Smith,46140,610
763,Bob,Anderson,59266,657
764,Tom,Johnson,55743,620
765,Tom,Taylor,42114,527
766,John,Doe,46398,422
767,Jane,Smith,52837,88
768,John,Doe,55022,172
769,Tom,Smith,58177,719
770,Bob,Johnson,43231,436
771,Alice,Johnson,54498,635
772,Alice,Anderson,43602,104
773,Tom,Johnson,54272,421
774,Tom,Smith,46371,20
775,Bob,Anderson,44044,72
776,Bob,Smith,47176,89
777,Bob,Johnson,44467,679
778,Emma,Taylor,54931,144
779,Bob,Anderson,47704,586
780,Emma,Johnson,47757,170
781,Bob,Doe,55475,302
782,Bob,Doe,58144,152
783,Tom,Johnson,57133,191
784,Bob,Doe,42663,641
785,Alice,Anderson,44302,494
786,John,Doe,53604,4
787,Bob,Brown,42370,70
788,Tom,Anderson,51141,684
789,John,Smith,49765,229
790,Jane,Anderson,47207,704
791,John,Anderson,45800,548
792,Jane,Brown,41497,549
793,John,Brown,41835,380
794,Bob,Doe,46080,521
795,Bob,Doe,58785,316
796,John,Brown,42400,227
797,Alice,Smith,58089,28
798,Bob,Johnson,44210,431
799,John,Anderson,51881,574
800,Bob,Smith,48225,578
801,Emma,Doe,50614,267
802,Tom,Smith,55063,423
803,Tom,Doe,55637,722
804,Bob,Taylor,53382,775
805,Alice,Johnson,49014,253
806,Tom,Doe,45995,93
807,John,Smith,46580,450
808,Bob,Taylor,57486,526
809,Alice,Brown,59026,315
810,Tom,Smith,42749,384
811,Alice,Brown,59028,251
812,Emma,Anderson,58205,486
813,Bob,Taylor,47588,755
814,Emma,Doe,55405,251
815,Alice,Anderson,52543,257
816,Jane,Anderson,44867,409
817,Bob,Doe,47500,66
818,Alice,Anderson,54736,646
819,Tom,Doe,45012,562
820,Tom,Doe,42567,427
821,Bob,Anderson,41701,493
822,Tom,Smith,55931,483
823,Tom,Smith,51370,427
824,Alice,Smith,47972,259
825,Tom,Brown,42420,122
826,Jane,Taylor,51472,794
827,John,Taylor,40929,788
828,Tom,Johnson,53259,365
829,John,Doe,41028,408
830,Emma,Johnson,57173,401
831,Alice,Taylor,56233,766
832,Emma,Brown,54641,245
833,Bob,Johnson,43063,433
834,John,Brown,57181,804
835,Alice,Smith,42642,108
836,Alice,Brown,44464,245
837,Emma,Taylor,57397,538
838,Alice,Anderson,57147,112
839,Tom,Brown,45590,170
840,Bob,Brown,55882,665
841,John,Brown,52215,500
842,Tom,Smith,45523,567
843,Jane,Anderson,48359,500
844,Alice,Smith,48258,21
845,Jane,Johnson,41550,35
846,Alice,Doe,52482,414
847,John,Taylor,50644,198
848,Bob,Taylor,51499,665
849,Tom,Anderson,49171,696
850,Jane,Anderson,53706,467
851,Emma,Smith,41719,318
852,Alice,Doe,52346,361
853,Emma,Brown,43102,366
854,Alice,Taylor,46155,637
855,Alice,Smith,59513,425
856,Alice,Anderson,43329,206
857,John,Anderson,49639,460
858,Emma,Anderson,47704,486
859,Emma,Smith,43687,353
860,Alice,Anderson,47144,580
861,Jane,Johnson,57791,699
862,Bob,Anderson,54115,383
863,Bob,Smith,58671,48
864,Emma,Anderson,41765,219
865,Jane,Anderson,56927,547
866,Tom,Smith,46291,135
867,Emma,Smith,47330,252
868,Emma,Doe,56030,206
869,Jane,Doe,56182,680
870,Bob,Taylor,41215,247
871,Jane,Johnson,46318,118
872,Emma,Smith,50083,573
873,Tom,Taylor,56983,494
874,John,Anderson,44091,172
875,Tom,Brown,59677,494
876,John,Brown,47594,286
877,Jane,Anderson,59757,425
878,Jane,Doe,52565,811
879,Jane,Brown,45621,204
880,Alice,Johnson,49605,74
881,Emma,Anderson,54342,654
882,Emma,Anderson,51747,860
883,Alice,Taylor,44339,551
884,Emma,Taylor,42362,275
885,Emma,Anderson,54383,439
886,Bob,Doe,42145,757
887,Tom,Taylor,49214,464
888,John,Johnson,50824,821
889,Bob,Johnson,45653,742
890,Jane,Doe,41880,532
891,Tom,Johnson,42493,785
892,Jane,Anderson,56261,551
893,Emma,Taylor,53214,377
894,Bob,Anderson,50973,767
895,Emma,Brown,46875,563
896,Jane,Johnson,59338,89
897,Jane,Anderson,41490,412
898,Emma,Anderson,56396,212
899,Tom,Doe,45754,476
900,Tom,Taylor,54752,500
901,Jane,Taylor,56853,566
902,Emma,Taylor,51508,53
903,Alice,Anderson,55590,397
904,John,Smith,48733,15
905,John,Smith,52559,698
906,Jane,Smith,57545,166
907,Jane,Anderson,54530,861
908,Alice,Brown,54765,471
909,Jane,Anderson,46697,778
910,Alice,Anderson,57523,213
911,Alice,Brown,41147,16
912,Alice,Taylor,41812,23
913,Bob,Smith,50180,334
914,Emma,Smith,58267,779
915,Emma,Brown,52225,356
916,John,Smith,53955,343
